"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:85%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中清洁效率处于中等水平","2025-01"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:12%\n边刷寿命:剩余45天","大户型中操作便捷性低于同类20%","2025-01"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:86%\n日均清扫:46m²\n漏扫区域:沙发底部(高度不足)","主刷寿命:剩余55天\nHEPA滤网:剩余35%","优于68%同面积用户（清洁频率更高）","2025-01"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:87%\n避障失效:3次/周(电线缠绕)","边刷磨损:中度\n尘盒清理:每2天","拖地功能使用率低于同类32%","2025-02"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:91%\n地毯增压使用:14次/月","胶刷更换:剩余20天\n尘盒容量:每日清理","毛发处理效率前18%","2025-02"
"1004","85m² | 2猫 | 混合地面","猫砂洒落处理:9次/月\n自动回充成功率:87%","主刷缠绕:严重\n滤网更换:紧迫","建议升级吸力至2500Pa+定期清理主刷","2025-02"
"1005","120m² | 老人 | 防滑砖","手动操作占比:94%\n定时清扫使用率:1次/周","电池衰减:26%\n水箱未激活","急需语音控制功能+简化操作界面","2025-02"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:4次/周\n玩具避障率:74%","边刷更换:待更换\n集尘袋消耗:1.2个/月","建议增加机械臂配件+提升跨楼层导航","2025-02"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:36m²\n沿边清扫无死角","滤网寿命:剩余75天\n尘盒清理:每4天","清洁效率优于72%小户型用户","2025-02"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:87%\n餐桌区域漏扫:1次/天\n避障成功率:91%","主刷磨损:轻微\n水箱加水:每日2次","大理石地面清洁效果低于同类13%","2025-02"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:86%\n自动回充成功率:93%","胶刷缠绕:中度\n滤网更换:剩余25天","养宠家庭中清洁效率处于中上等水平","2025-03"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:83%\n手动辅助清扫:2次/天\n定时清扫使用率:65%","电池衰减:16%\n边刷寿命:剩余40天","大户型中操作便捷性低于同类18%","2025-03"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:87%\n日均清扫:47m²\n漏扫区域:无(垫高沙发)","主刷寿命:剩余50天\nHEPA滤网:剩余30%","优于70%同面积用户（清洁频率更高）","2025-03"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失效:2次/周(电线+数据线)","边刷磨损:重度\n尘盒清理:每2天","拖地功能使用率低于同类30%+建议整理线路","2025-03"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:16次/月","胶刷更换:已更换\n尘盒容量:每日清理","毛发处理效率前15%","2025-03"
"1004","85m² | 2猫 | 混合地面","猫砂洒落处理:7次/月\n自动回充成功率:88%","主刷缠绕:严重\n滤网更换:已更换","升级吸力后清洁效率提升5%","2025-03"
"1005","120m² | 老人 | 防滑砖","手动操作占比:93%\n定时清扫使用率:2次/周","电池衰减:27%\n水箱首次激活:使用1次","语音控制功能已预约安装","2025-03"
